,year,statefip,state_male_ratio,state_log_avg_income,state_log_med_income,state_med_income,state_some_college,state_bs_college,state_below_poverty,state_log_population,state_population,state_black_race,state_hispanic,county_fips,countyf_ipeds
27,1997,31,0.4897497660251692,10.78286771020796,10.559260627530353,39208.4,0.38674994795283396,0.14918688717664663,0.1197827388585664,14.31880871428504,1656347.6,0.03831423658141827,0.04484185306601255,-1000,-1000
27,1998,31,0.49000232483354966,10.826532702439398,10.60120821204813,40705.6,0.39319219402403977,0.15249675487526776,0.1202175708228125,14.330093985839277,1674608.4,0.0386224851965513,0.048018849156929846,-1000,-1000
27,1999,31,0.49025488364193015,10.870197694670834,10.643155796565905,42202.8,0.3996344400952456,0.15580662257388886,0.12065240278705859,14.341379257393513,1692869.2,0.03893073381168433,0.05119584524784715,-1000,-1000
78,2000,31,0.49050744245031064,10.91386268690227,10.685103381083682,43700.0,0.40607668616645143,0.15911649027250999,0.12108723475130469,14.352664528947749,1711130.0,0.039238982426817365,0.054372841338764445,-1000,-1000
129,2001,31,0.4923735290931889,10.960212954951187,10.762149171573647,47200.0,0.41487450974872575,0.1679977675935111,0.11098634058518668,14.306609483551396,1634111.0,0.036785138830838296,0.06035697697402441,-1000,-1000
180,2002,31,0.488085886515182,10.956487055586623,10.760028280004509,47100.0,0.41778010617322864,0.16723426318113085,0.11549255788943116,14.323872749972272,1662566.0,0.0347823785642194,0.06123125337580583,-1000,-1000
231,2003,31,0.4947133277334197,10.970423126943697,10.791378809888585,48600.0,0.4182769468392514,0.1712609748851804,0.11688020149928842,14.309786589573209,1639311.0,0.04269598630156206,0.06128855354475142,-1000,-1000
282,2004,31,0.4981455330213147,11.016434649517421,10.81376021208472,49700.0,0.4214635447494537,0.17430868362645813,0.11122434949075186,14.342931907704859,1694557.0,0.038325060768094554,0.07279837739302956,-1000,-1000
333,2005,31,0.4878620919551293,11.017309895025244,10.847393451443256,51400.0,0.41947206379649726,0.17376892549993603,0.11658777006874745,14.348440863147767,1703918.0,0.04490826436483446,0.0756245312274417,-1000,-1000
384,2006,31,0.49348729579830236,11.032652198334524,10.86283777387073,52200.0,0.4271881015618606,0.17701068110396445,0.14765025803044793,14.394311415599653,1783898.0,0.0436140407130901,0.08156071703651217,-1000,-1000
435,2007,31,0.49260464536334236,11.070668185490568,10.915088464214607,55000.0,0.42987190821155646,0.1830927376460452,0.14382552197712703,14.392372206050041,1780442.0,0.039427849938386085,0.07910732278838625,-1000,-1000
486,2008,31,0.49895369749392804,11.123050454759879,10.961277846683982,57600.0,0.4496670287791396,0.18879953752577425,0.13824821986606192,14.38137137646829,1760963.0,0.041570436176115,0.08346739823607878,-1000,-1000
537,2009,31,0.49322735444130883,11.12134748618651,10.968198289528557,58000.0,0.4506147893911542,0.18271340334304043,0.15982835652043725,14.39027164606563,1776706.0,0.04624119015751621,0.08187848749314743,-1000,-1000
588,2010,31,0.4964563905527562,11.09252838373412,10.927735425915376,55700.0,0.4629190768866692,0.1896548259841623,0.1586051272663138,14.398662052598649,1791676.0,0.045521623329218004,0.08872753779143104,-1000,-1000
639,2011,31,0.49169817844066604,11.170851490676405,10.97164063371953,58200.0,0.4699518582728898,0.19419331062892184,0.14944946341512222,14.402776531774757,1799063.0,0.04107638253913287,0.0979493213967493,-1000,-1000
690,2012,31,0.48807390905545406,11.204354525979477,10.994571574783446,59550.0,0.4727948000692138,0.20375924229332004,0.1453196880171711,14.42721067019772,1843563.0,0.04790940152302905,0.09850165142173063,-1000,-1000
741,2013,31,0.492075706126944,11.218794725297684,11.04691385699403,62750.0,0.47510900146566176,0.20549729050784446,0.15927980020516005,14.426085041458158,1841489.0,0.049188998685303034,0.10024062049786885,-1000,-1000
792,2014,31,0.4965378887353516,11.22184157646721,11.06663836234181,64000.0,0.46878351166823906,0.20863679637585075,0.15403225286521405,14.436781428205947,1861292.0,0.04547862452532972,0.10395037425616185,-1000,-1000
28,1990,32,0.5026061222539288,10.644624675442431,10.491274217438248,36000.0,0.3407790718313513,0.10379773624063025,0.10672813041875452,13.974099374676141,1171856.0,0.06424338826613508,0.1011668669188023,-1000,-1000
28,1991,32,0.5028774299862449,10.683982412660257,10.524124624135451,37400.0,0.3431565849403951,0.10556961905705538,0.1081172306451891,14.027339729065163,1254239.9,0.06444887012855471,0.11076511662752438,-1000,-1000
28,1992,32,0.503148737718561,10.723340149878082,10.556975030832655,38800.0,0.34553409804943885,0.1073415018734805,0.10950633087162369,14.080580083454185,1336623.8,0.06465435199097436,0.12036336633624643,-1000,-1000
28,1993,32,0.503420045450877,10.762697887095907,10.589825437529859,40200.0,0.3479116111584827,0.10911338468990563,0.11089543109805827,14.133820437843205,1419007.7,0.06485983385339399,0.1299616160449685,-1000,-1000
28,1994,32,0.5036913531831931,10.802055624313732,10.622675844227063,41600.0,0.35028912426752645,0.11088526750633075,0.11228453132449286,14.187060792232227,1501391.6,0.06506531571581363,0.13955986575369056,-1000,-1000
28,1995,32,0.5039626609155092,10.841413361531558,10.655526250924265,43000.0,0.3526666373765702,0.11265715032275589,0.11367363155092744,14.240301146621249,1583775.5,0.06527079757823326,0.14915811546241264,-1000,-1000
28,1996,32,0.5042339686478253,10.880771098749383,10.688376657621468,44400.0,0.355044150485614,0.11442903313918101,0.11506273177736204,14.29354150101027,1666159.4,0.06547627944065289,0.1587563651711347,-1000,-1000
28,1997,32,0.5045052763801414,10.920128835967208,10.721227064318672,45800.0,0.35742166359465777,0.11620091595560614,0.11645183200379662,14.346781855399293,1748543.2999999998,0.06568176130307253,0.16835461487985676,-1000,-1000
28,1998,32,0.5047765841124575,10.959486573185034,10.754077471015876,47200.0,0.3597991767037016,0.11797279877203126,0.1178409322302312,14.400022209788313,1830927.2,0.06588724316549216,0.17795286458857884,-1000,-1000
28,1999,32,0.5050478918447736,10.998844310402859,10.78692787771308,48600.0,0.36217668981274537,0.11974468158845639,0.11923003245666579,14.453262564177335,1913311.1,0.0660927250279118,0.1875511142973009,-1000,-1000
79,2000,32,0.5053191995770897,11.038202047620684,10.819778284410283,50000.0,0.36455420292178914,0.12151656440488151,0.12061913268310037,14.506502918566357,1995695.0,0.06629820689033143,0.19714936400602295,-1000,-1000
130,2001,32,0.5001837184616641,11.08123974161217,10.851276951469654,51600.0,0.3605178819302686,0.12834469666040663,0.10279609292071527,14.488210103255113,1959520.0,0.06302614926104352,0.20122121744100596,-1000,-1000
181,2002,32,0.5044814685220574,11.029277545848078,10.89488575689709,53900.0,0.361765475931223,0.12546007541297288,0.1217545138897385,14.530132985819183,2043415.0,0.06588382682910715,0.22187857092171684,-1000,-1000
232,2003,32,0.5001017950009659,11.076333637465977,10.913268627497622,54900.0,0.3621113324823587,0.13165218494683933,0.12223164943884914,14.563187589606924,2112088.0,0.0664631397934177,0.22863820068103222,-1000,-1000
283,2004,32,0.5089525574312626,11.073279679981843,10.896739325546411,54000.0,0.36164185642241703,0.12972665539866482,0.13175810642528374,14.59493405375547,2180215.0,0.06954451739851344,0.23877278158346768,-1000,-1000
334,2005,32,0.4933832560372423,11.147307623488514,10.985292722887856,59000.0,0.3741084084247191,0.14091176681868914,0.12175579808287006,14.640999173429803,2282996.0,0.0700991153729573,0.24181251303112225,-1000,-1000
385,2006,32,0.5084660007165321,11.205601860285732,11.042921835724492,62500.0,0.38127368961913755,0.14457111084818042,0.116755433357135,14.69811957606559,2417198.0,0.07209339077725532,0.2477153298985023,-1000,-1000
436,2007,32,0.5053788050347799,11.26521851932542,11.069922027706848,64210.5,0.37989476879490036,0.1483038053158462,0.12068021245396536,14.728000475887606,2490516.0,0.07397944843558524,0.254776921730276,-1000,-1000
487,2008,32,0.5030996238084223,11.256096877193636,11.091346218718432,65601.0,0.40473262802485216,0.1534390890238904,0.12325042509242463,14.717365594762098,2464170.0,0.07533692886448581,0.26017644886513513,-1000,-1000
538,2009,32,0.4996842715779097,11.226547172808026,11.054059580134949,63200.0,0.406871596516892,0.15106585560422897,0.13540176689147057,14.742109972317568,2525905.0,0.07711097606600406,0.26708407481674884,-1000,-1000
589,2010,32,0.5053201894428551,11.181147217369192,11.002099841204238,60000.0,0.4075394484273235,0.15007781746368842,0.16448398487761576,14.757960923388127,2566262.0,0.07688770671116199,0.2654802978027964,-1000,-1000
640,2011,32,0.5006558114298112,11.136738927952866,10.893028746149875,53800.0,0.4099100042561549,0.15797211013205936,0.17323894180212002,14.743908896059317,2530453.0,0.0830981646369247,0.2679563698673716,-1000,-1000
691,2012,32,0.4943008826423914,11.167622069362821,10.982645153370102,58844.0,0.42139677389592817,0.1586226780661828,0.17165472382826916,14.771514189540344,2601280.0,0.08167517529831468,0.2729129505474228,-1000,-1000
742,2013,32,0.49665237949013735,11.199230017488206,11.002099841204238,60000.0,0.42605286683425203,0.15935592116093913,0.17002051422159797,14.759197366725049,2569437.0,0.08368642624824037,0.2679622033931947,-1000,-1000
793,2014,32,0.4963901998212112,11.199743150512116,11.011224748981238,60550.0,0.4360219445987925,0.16726515690294816,0.16167751985127632,14.760096770152916,2571749.0,0.0850168504002529,0.27006795764283376,-1000,-1000
29,1990,33,0.49150702046644457,10.747155394686123,10.611523345589823,40600.0,0.36653676820561637,0.1676489618039029,0.06746043550690148,13.888493325884507,1075712.0,0.006098286530223703,0.012453147310804378,-1000,-1000
29,1991,33,0.4911949406375821,10.783723116141864,10.643502976945161,42130.0,0.3719415611133694,0.17051219080880428,0.06991907336823748,13.901991299098926,1091257.5,0.006169275345505795,0.01289127601184972,-1000,-1000
29,1992,33,0.4908828608087196,10.820290837597604,10.675482608300497,43660.0,0.37734635402112243,0.1733754198137057,0.07237771122957348,13.915489272313344,1106803.0,0.006240264160787887,0.013329404712895062,-1000,-1000
29,1993,33,0.4905707809798572,10.856858559053345,10.707462239655833,45190.0,0.3827511469288755,0.17623864881860707,0.07483634909090948,13.928987245527761,1122348.5,0.006311252976069979,0.013767533413940405,-1000,-1000
29,1994,33,0.4902587011509947,10.893426280509084,10.73944187101117,46720.0,0.38815593983662855,0.17910187782350845,0.07729498695224549,13.94248521874218,1137894.0,0.006382241791352071,0.014205662114985746,-1000,-1000
29,1995,33,0.48994662132213224,10.929994001964825,10.771421502366508,48250.0,0.3935607327443816,0.18196510682840983,0.0797536248135815,13.955983191956598,1153439.5,0.006453230606634164,0.014643790816031087,-1000,-1000
