state,fips,year,unemployment,state_full
VA,51,1994,4.9,Virginia
WA,53,1994,6.6,Washington
WV,54,1994,8.8,West Virginia
WI,55,1994,4.5,Wisconsin
WY,56,1994,5,Wyoming
AL,1,1995,6,Alabama
AK,2,1995,7.3,Alaska
AZ,4,1995,5.3,Arizona
AR,5,1995,4.8,Arkansas
CA,6,1995,7.9,California
CO,8,1995,4,Colorado
CT,9,1995,5.5,Connecticut
DE,10,1995,4.3,Delaware
DC,11,1995,8.8,District of Columbia
FL,12,1995,5.5,Florida
GA,13,1995,4.8,Georgia
HI,15,1995,5.9,Hawaii
ID,16,1995,5.4,Idaho
IL,17,1995,5.2,Illinois
IN,18,1995,4.6,Indiana
IA,19,1995,3.4,Iowa
KS,20,1995,4.4,Kansas
KY,21,1995,5.4,Kentucky
LA,22,1995,7,Louisiana
ME,23,1995,6,Maine
MD,24,1995,5,Maryland
MA,25,1995,5.3,Massachusetts
MI,26,1995,5.3,Michigan
MN,27,1995,3.7,Minnesota
MS,28,1995,6.2,Mississippi
MO,29,1995,4.7,Missouri
MT,30,1995,5.7,Montana
NE,31,1995,2.6,Nebraska
NV,32,1995,5.6,Nevada
NH,33,1995,4,New Hampshire
NJ,34,1995,6.4,New Jersey
NM,35,1995,6.6,New Mexico
NY,36,1995,6.3,New York
NC,37,1995,4.3,North Carolina
ND,38,1995,3.2,North Dakota
OH,39,1995,4.8,Ohio
OK,40,1995,4.6,Oklahoma
OR,41,1995,4.9,Oregon
PA,42,1995,5.9,Pennsylvania
RI,44,1995,6.3,Rhode Island
SC,45,1995,5.2,South Carolina
SD,46,1995,3,South Dakota
TN,47,1995,5.2,Tennessee
TX,48,1995,6.1,Texas
UT,49,1995,3.5,Utah
VT,50,1995,4.3,Vermont
VA,51,1995,4.5,Virginia
WA,53,1995,6.4,Washington
WV,54,1995,7.9,West Virginia
WI,55,1995,3.8,Wisconsin
WY,56,1995,4.8,Wyoming
AL,1,1996,5.2,Alabama
AK,2,1996,7.6,Alaska
AZ,4,1996,5.6,Arizona
AR,5,1996,5.3,Arkansas
CA,6,1996,7.3,California
CO,8,1996,4.2,Colorado
CT,9,1996,5.5,Connecticut
DE,10,1996,5.1,Delaware
DC,11,1996,8.4,District of Columbia
FL,12,1996,5.2,Florida
GA,13,1996,4.7,Georgia
HI,15,1996,6.3,Hawaii
ID,16,1996,5.3,Idaho
IL,17,1996,5.3,Illinois
IN,18,1996,4.1,Indiana
IA,19,1996,3.5,Iowa
KS,20,1996,4.3,Kansas
KY,21,1996,5.5,Kentucky
LA,22,1996,6.6,Louisiana
ME,23,1996,5.2,Maine
MD,24,1996,5,Maryland
MA,25,1996,4.4,Massachusetts
MI,26,1996,4.9,Michigan
MN,27,1996,4,Minnesota
MS,28,1996,6,Mississippi
MO,29,1996,4.8,Missouri
MT,30,1996,5.3,Montana
NE,31,1996,2.7,Nebraska
NV,32,1996,5,Nevada
NH,33,1996,3.8,New Hampshire
NJ,34,1996,6.1,New Jersey
NM,35,1996,7.2,New Mexico
NY,36,1996,6.2,New York
NC,37,1996,4.3,North Carolina
ND,38,1996,2.9,North Dakota
OH,39,1996,5,Ohio
OK,40,1996,4.1,Oklahoma
OR,41,1996,5.7,Oregon
PA,42,1996,5.4,Pennsylvania
RI,44,1996,5.4,Rhode Island
SC,45,1996,5.8,South Carolina
SD,46,1996,3.2,South Dakota
TN,47,1996,5.2,Tennessee
TX,48,1996,5.7,Texas
UT,49,1996,3.4,Utah
VT,50,1996,4.3,Vermont
VA,51,1996,4.4,Virginia
WA,53,1996,6.1,Washington
WV,54,1996,7.5,West Virginia
WI,55,1996,3.6,Wisconsin
WY,56,1996,4.9,Wyoming
AL,1,1997,5,Alabama
AK,2,1997,7.1,Alaska
AZ,4,1997,4.6,Arizona
AR,5,1997,5.2,Arkansas
CA,6,1997,6.4,California
CO,8,1997,3.5,Colorado
CT,9,1997,5,Connecticut
DE,10,1997,4,Delaware
DC,11,1997,8,District of Columbia
FL,12,1997,4.8,Florida
GA,13,1997,4.6,Georgia
HI,15,1997,6.2,Hawaii
ID,16,1997,5.1,Idaho
IL,17,1997,4.8,Illinois
IN,18,1997,3.5,Indiana
IA,19,1997,3.1,Iowa
KS,20,1997,3.8,Kansas
KY,21,1997,5.3,Kentucky
LA,22,1997,6,Louisiana
ME,23,1997,5.1,Maine
MD,24,1997,5,Maryland
MA,25,1997,3.9,Massachusetts
MI,26,1997,4.3,Michigan
MN,27,1997,3.3,Minnesota
MS,28,1997,5.7,Mississippi
MO,29,1997,4.3,Missouri
MT,30,1997,5.3,Montana
NE,31,1997,2.5,Nebraska
NV,32,1997,4.4,Nevada
NH,33,1997,3.3,New Hampshire
NJ,34,1997,5.3,New Jersey
NM,35,1997,6.3,New Mexico
NY,36,1997,6.4,New York
NC,37,1997,3.7,North Carolina
ND,38,1997,2.7,North Dakota
OH,39,1997,4.6,Ohio
OK,40,1997,4.1,Oklahoma
OR,41,1997,5.7,Oregon
PA,42,1997,5.1,Pennsylvania
RI,44,1997,5.1,Rhode Island
SC,45,1997,4.6,South Carolina
SD,46,1997,2.9,South Dakota
TN,47,1997,5.3,Tennessee
TX,48,1997,5.3,Texas
UT,49,1997,3.2,Utah
VT,50,1997,3.9,Vermont
VA,51,1997,3.8,Virginia
WA,53,1997,4.9,Washington
WV,54,1997,6.9,West Virginia
WI,55,1997,3.6,Wisconsin
WY,56,1997,4.8,Wyoming
AL,1,1998,4.4,Alabama
AK,2,1998,6.3,Alaska
AZ,4,1998,4.3,Arizona
AR,5,1998,5.2,Arkansas
CA,6,1998,5.9,California
CO,8,1998,3.6,Colorado
CT,9,1998,3.4,Connecticut
DE,10,1998,3.7,Delaware
DC,11,1998,8.4,District of Columbia
FL,12,1998,4.3,Florida
GA,13,1998,4.3,Georgia
HI,15,1998,6.1,Hawaii
ID,16,1998,5.1,Idaho
IL,17,1998,4.4,Illinois
IN,18,1998,3.1,Indiana
IA,19,1998,2.7,Iowa
KS,20,1998,3.5,Kansas
KY,21,1998,4.6,Kentucky
LA,22,1998,5.7,Louisiana
ME,23,1998,4.5,Maine
MD,24,1998,4.4,Maryland
MA,25,1998,3.3,Massachusetts
MI,26,1998,3.9,Michigan
MN,27,1998,2.7,Minnesota
MS,28,1998,5.3,Mississippi
MO,29,1998,4.2,Missouri
MT,30,1998,5.5,Montana
NE,31,1998,2.6,Nebraska
NV,32,1998,4.2,Nevada
NH,33,1998,2.8,New Hampshire
NJ,34,1998,4.6,New Jersey
NM,35,1998,6.1,New Mexico
NY,36,1998,5.6,New York
NC,37,1998,3.5,North Carolina
ND,38,1998,2.9,North Dakota
OH,39,1998,4.3,Ohio
OK,40,1998,4.3,Oklahoma
OR,41,1998,5.7,Oregon
PA,42,1998,4.6,Pennsylvania
RI,44,1998,4.6,Rhode Island
SC,45,1998,3.8,South Carolina
SD,46,1998,2.8,South Dakota
TN,47,1998,4.3,Tennessee
TX,48,1998,4.9,Texas
UT,49,1998,3.6,Utah
VT,50,1998,3.4,Vermont
VA,51,1998,2.9,Virginia
WA,53,1998,4.8,Washington
WV,54,1998,6.6,West Virginia
WI,55,1998,3.4,Wisconsin
WY,56,1998,4.7,Wyoming
AL,1,1999,4.7,Alabama
AK,2,1999,6.5,Alaska
AZ,4,1999,4.4,Arizona
AR,5,1999,4.6,Arkansas
CA,6,1999,5.2,California
CO,8,1999,3.1,Colorado
CT,9,1999,2.9,Connecticut
DE,10,1999,3.4,Delaware
DC,11,1999,6.4,District of Columbia
FL,12,1999,3.9,Florida
GA,13,1999,3.9,Georgia
HI,15,1999,5.4,Hawaii
ID,16,1999,4.9,Idaho
IL,17,1999,4.4,Illinois
IN,18,1999,3,Indiana
IA,19,1999,2.6,Iowa
KS,20,1999,3.3,Kansas
KY,21,1999,4.5,Kentucky
LA,22,1999,5.1,Louisiana
ME,23,1999,4,Maine
MD,24,1999,3.6,Maryland
MA,25,1999,3.2,Massachusetts
MI,26,1999,3.7,Michigan
MN,27,1999,2.8,Minnesota
MS,28,1999,5.1,Mississippi
MO,29,1999,3.3,Missouri
MT,30,1999,5.3,Montana
NE,31,1999,2.8,Nebraska
NV,32,1999,4,Nevada
NH,33,1999,2.7,New Hampshire
NJ,34,1999,4.5,New Jersey
NM,35,1999,5.6,New Mexico
NY,36,1999,5.2,New York
NC,37,1999,3.2,North Carolina
ND,38,1999,3.3,North Dakota
OH,39,1999,4.3,Ohio
OK,40,1999,3.5,Oklahoma
OR,41,1999,5.5,Oregon
PA,42,1999,4.4,Pennsylvania
RI,44,1999,4.2,Rhode Island
SC,45,1999,4.3,South Carolina
SD,46,1999,2.7,South Dakota
TN,47,1999,4,Tennessee
TX,48,1999,4.7,Texas
UT,49,1999,3.5,Utah
VT,50,1999,3,Vermont
VA,51,1999,2.7,Virginia
WA,53,1999,4.9,Washington
WV,54,1999,6.5,West Virginia
WI,55,1999,3.1,Wisconsin
WY,56,1999,4.6,Wyoming
AL,1,2e3,4.6,Alabama
AK,2,2e3,6.4,Alaska
AZ,4,2e3,4,Arizona
AR,5,2e3,4.3,Arkansas
CA,6,2e3,4.9,California
CO,8,2e3,2.8,Colorado
CT,9,2e3,2.4,Connecticut
DE,10,2e3,3.7,Delaware
DC,11,2e3,5.6,District of Columbia
FL,12,2e3,3.7,Florida
GA,13,2e3,3.6,Georgia
HI,15,2e3,4.2,Hawaii
ID,16,2e3,4.7,Idaho
IL,17,2e3,4.3,Illinois
IN,18,2e3,3.1,Indiana
IA,19,2e3,2.6,Iowa
KS,20,2e3,3.6,Kansas
KY,21,2e3,4.2,Kentucky
LA,22,2e3,5.3,Louisiana
ME,23,2e3,3.4,Maine
MD,24,2e3,3.6,Maryland
MA,25,2e3,2.7,Massachusetts
MI,26,2e3,3.6,Michigan
MN,27,2e3,3.2,Minnesota
MS,28,2e3,5.4,Mississippi
MO,29,2e3,3.6,Missouri
MT,30,2e3,5,Montana
NE,31,2e3,2.8,Nebraska
NV,32,2e3,4.2,Nevada
NH,33,2e3,2.7,New Hampshire
NJ,34,2e3,3.7,New Jersey
NM,35,2e3,4.9,New Mexico
NY,36,2e3,4.5,New York
NC,37,2e3,3.7,North Carolina
ND,38,2e3,3,North Dakota
OH,39,2e3,4,Ohio
OK,40,2e3,3,Oklahoma
OR,41,2e3,5.1,Oregon
PA,42,2e3,4.1,Pennsylvania
RI,44,2e3,4.1,Rhode Island
SC,45,2e3,3.8,South Carolina
SD,46,2e3,2.5,South Dakota
TN,47,2e3,3.9,Tennessee
TX,48,2e3,4.3,Texas
UT,49,2e3,3.3,Utah
VT,50,2e3,2.8,Vermont
VA,51,2e3,2.3,Virginia
WA,53,2e3,5.2,Washington
WV,54,2e3,5.5,West Virginia
WI,55,2e3,3.5,Wisconsin
WY,56,2e3,3.9,Wyoming
AL,1,2001,5.1,Alabama
AK,2,2001,6.4,Alaska
AZ,4,2001,4.8,Arizona
AR,5,2001,5,Arkansas
CA,6,2001,5.4,California
CO,8,2001,3.8,Colorado
CT,9,2001,3.1,Connecticut
DE,10,2001,3.5,Delaware
DC,11,2001,6.3,District of Columbia
FL,12,2001,4.7,Florida
GA,13,2001,4,Georgia
HI,15,2001,4.5,Hawaii
ID,16,2001,5.1,Idaho
IL,17,2001,5.3,Illinois
IN,18,2001,4.2,Indiana
IA,19,2001,3.3,Iowa
KS,20,2001,4.2,Kansas
KY,21,2001,5.2,Kentucky
LA,22,2001,5.7,Louisiana
ME,23,2001,3.8,Maine
MD,24,2001,4,Maryland
MA,25,2001,3.7,Massachusetts
MI,26,2001,5.2,Michigan
MN,27,2001,3.8,Minnesota
MS,28,2001,5.5,Mississippi
MO,29,2001,4.6,Missouri
MT,30,2001,4.5,Montana
NE,31,2001,3.1,Nebraska
NV,32,2001,5.2,Nevada
NH,33,2001,3.4,New Hampshire
NJ,34,2001,4.3,New Jersey
NM,35,2001,4.9,New Mexico
NY,36,2001,4.8,New York
NC,37,2001,5.5,North Carolina
ND,38,2001,2.9,North Dakota
OH,39,2001,4.3,Ohio
OK,40,2001,3.7,Oklahoma
OR,41,2001,6.4,Oregon
PA,42,2001,4.8,Pennsylvania
RI,44,2001,4.6,Rhode Island
SC,45,2001,5.2,South Carolina
SD,46,2001,3.1,South Dakota
TN,47,2001,4.6,Tennessee
TX,48,2001,5,Texas
UT,49,2001,4.4,Utah
VT,50,2001,3.3,Vermont
VA,51,2001,3.2,Virginia
WA,53,2001,6.3,Washington
WV,54,2001,5,West Virginia
WI,55,2001,4.5,Wisconsin
WY,56,2001,3.8,Wyoming
AL,1,2002,5.9,Alabama
AK,2,2002,7.3,Alaska
AZ,4,2002,6.1,Arizona
AR,5,2002,5.5,Arkansas
CA,6,2002,6.7,California
CO,8,2002,5.5,Colorado
CT,9,2002,4.3,Connecticut
DE,10,2002,4,Delaware
